twitter_id,author_id,hashtag,frequency,full_name,state,region,party
233737858,142332083,RonsRoadTour,118,Ron Johnson,WI,north,Republican
10615232,118740781,iaSen,109,Chuck Grassley,IA,north,Republican
10615232,118740781,GrassleyWorks,104,Chuck Grassley,IA,north,Republican
131546062,131546062,Ian,92,Rick Scott,FL,south,Republican
88784440,2164909022,ILikeMike,80,Mike Lee,UT,north,Republican
131546062,131546062,HurricaneIan,72,Rick Scott,FL,south,Republican
293131808,158470209,WASen,56,Patty Murray,WA,north,Democrat
264219447,264219447,WickerReport,50,Roger F. Wicker,MS,south,Republican
88784440,2164909022,UTGOPVotes,36,Mike Lee,UT,north,Republican
18061669,151247615,GoVote,35,Lisa Murkowski,AK,north,Republican
18061669,151247615,RankLisaFirst,34,Lisa Murkowski,AK,north,Republican
817138492614524928,720353279176081408,ncpol,34,Ted Budd,NC,south,Republican
817138492614524928,720353279176081408,ncsen,34,Ted Budd,NC,south,Republican
18061669,151247615,ElectionDay,33,Lisa Murkowski,AK,north,Republican
229966028,3001665106,USSenateDebateFL,33,Marco Rubio,FL,south,Republican
171598736,171598736,PAMapSpotlight,31,"Robert P. Casey, Jr.",PA,north,Democrat
1074480192,1074480192,BidenBorderCrisis,30,Ted Cruz,TX,south,Republican
13218102,13218102,BidenBorderCrisis,26,John Cornyn,TX,south,Republican
234374703,234374703,WV,25,"Joe Manchin, III",WV,south,Democrat
10615232,10615232,99countymeetings,24,Chuck Grassley,IA,north,Republican
1074480192,1074480192,BidenFlation,23,Ted Cruz,TX,south,Republican
1060370282,366304362,MullinForAmerica,23,Markwayne Mullin,OK,south,Republican
131546062,131546062,Nicole,22,Rick Scott,FL,south,Republican
18061669,151247615,TeamLisa,22,Lisa Murkowski,AK,north,Republican
250188760,250188760,VoteByMail,22,Ron Wyden,OR,north,Democrat
2891210047,2891210047,AEIFDP,22,Dan Sullivan,AK,north,Republican
2891210047,2891210047,Taiwan,20,Dan Sullivan,AK,north,Republican
10615232,118740781,Bidenflation,19,Chuck Grassley,IA,north,Republican
229966028,3001665106,GettingThingsDone,19,Marco Rubio,FL,south,Republican
2891210047,2891210047,CCP,18,Dan Sullivan,AK,north,Republican
1352287997853622273,1352287997853622273,ForGeorgia,15,Raphael G. Warnock,GA,south,Democrat
229966028,229966028,HurricaneIan,15,Marco Rubio,FL,south,Republican
10615232,118740781,VoteGRASSLEY,14,Chuck Grassley,IA,north,Republican
1074518754,1074518754,MadeinWI,13,Tammy Baldwin,WI,north,Democrat
131546062,131546062,Bidenflation,13,Rick Scott,FL,south,Republican
1346873610875654147,1346873610875654147,BidenBorderCrisis,13,Bill Hagerty,TN,south,Republican
229966028,229966028,Florida,13,Marco Rubio,FL,south,Republican
242555999,242555999,EEODayRI,12,Sheldon Whitehouse,RI,north,Democrat
1074518754,1074518754,RespectforMarriageAct,11,Tammy Baldwin,WI,north,Democrat
1346873610875654147,1346873610875654147,Bidenflation,11,Bill Hagerty,TN,south,Republican
171598736,171598736,BetterCareBetterJobs,11,"Robert P. Casey, Jr.",PA,north,Democrat
2856787757,2856787757,Bidenflation,11,Joni Ernst,IA,north,Republican
229966028,3001665106,GetsThingsDone,11,Marco Rubio,FL,south,Republican
818554054309715969,818554054309715969,TeamRosen,11,Jacky Rosen,NV,north,Democrat
899978622416695297,899978622416695297,SOMOS2022,11,Kirsten E. Gillibrand,NY,north,Democrat
229966028,229966028,CCP,10,Marco Rubio,FL,south,Republican
10615232,118740781,IowaAg,9,Chuck Grassley,IA,north,Republican
131546062,131546062,BlueRoof,8,Rick Scott,FL,south,Republican
233737858,142332083,GreenWave,8,Ron Johnson,WI,north,Republican
234128524,234128524,MarkerMonday,8,Todd Young,IN,north,Republican
1060370282,366304362,oksen,8,Markwayne Mullin,OK,south,Republican
1017500185356853248,1017500185356853248,RollWave,7,Bill Cassidy,LA,south,Republican
1017500185356853248,1017500185356853248,Saints,7,Bill Cassidy,LA,south,Republican
1345739193721487362,1345739193721487362,VeteransDay,7,Tommy Tuberville,AL,south,Republican
229966028,229966028,ExpressionNOToppression,7,Marco Rubio,FL,south,Republican
264219447,264219447,MississippiMonday,7,Roger F. Wicker,MS,south,Republican
2891210047,2891210047,CCPCongress,7,Dan Sullivan,AK,north,Republican
217543151,81191343,PASen,7,Tim Scott,SC,south,Republican
109071031,109071031,COP27,6,Benjamin L. Cardin,MD,south,Democrat
109071031,109071031,ElectionDay,6,Benjamin L. Cardin,MD,south,Democrat
109071031,109071031,SmallBusinessSaturday,6,Benjamin L. Cardin,MD,south,Democrat
109287731,109287731,HFX2022,6,Jeanne Shaheen,NH,north,Democrat
10615232,118740781,ElectionDay,6,Chuck Grassley,IA,north,Republican
10615232,118740781,GOTV,6,Chuck Grassley,IA,north,Republican
131546062,131546062,CollierCounty,6,Rick Scott,FL,south,Republican
15324851,15324851,HFX2022,6,Christopher A. Coons,DE,south,Democrat
217543151,217543151,SCSweetTea,6,Tim Scott,SC,south,Republican
234374703,234374703,ICYMI,6,"Joe Manchin, III",WV,south,Democrat
2856787757,2856787757,BidenBorderCrisis,6,Joni Ernst,IA,north,Republican
2856787757,2856787757,Iowa,6,Joni Ernst,IA,north,Republican
10615232,294126378,ICYMI,6,Chuck Grassley,IA,north,Republican
5558312,3006258669,FarmBill,6,John Boozman,AR,south,Republican
1351236267707654145,82489457,VoteBlue2022,6,Alex Padilla,CA,north,Democrat
970207298,970207298,RoeVWade,6,Elizabeth Warren,MA,north,Democrat
1017500185356853248,1017500185356853248,GeauxTigers,5,Bill Cassidy,LA,south,Republican
1074518754,1074518754,RespectForMarriageAct,5,Tammy Baldwin,WI,north,Democrat
1096059529,1096059529,SupportLocalGems,5,James E. Risch,ID,north,Republican
10615232,118740781,VOTE,5,Chuck Grassley,IA,north,Republican
18061669,151247615,VoteEarly,5,Lisa Murkowski,AK,north,Republican
18061669,18061669,2022AFN,5,Lisa Murkowski,AK,north,Republican
88784440,2164909022,utpol,5,Mike Lee,UT,north,Republican
229966028,229966028,ExposingTheCCP,5,Marco Rubio,FL,south,Republican
250188760,250188760,BAONPDX,5,Ron Wyden,OR,north,Democrat
2856787757,2856787757,SmallBiz,5,Joni Ernst,IA,north,Republican
2891210047,2891210047,ccp,5,Dan Sullivan,AK,north,Republican
29201047,29201047,EndTheException,5,Jeff Merkley,OR,north,Democrat
229966028,3001665106,LograndoResultados,5,Marco Rubio,FL,south,Republican
339822881,339822881,Kentucky,5,Mitch McConnell,KY,south,Republican
817138492614524928,720353279176081408,Bidenflation,5,Ted Budd,NC,south,Republican
10615232,10615232,cornwatch,4,Chuck Grassley,IA,north,Republican
1080844782,1080844782,OnThisDay,4,Kyrsten Sinema,AZ,north,Independent
10615232,118740781,BidenBorderCrisis,4,Chuck Grassley,IA,north,Republican
10615232,118740781,iapolitics,4,Chuck Grassley,IA,north,Republican
10615232,118740781,vote,4,Chuck Grassley,IA,north,Republican
13218102,13218102,FentanylJoe,4,John Cornyn,TX,south,Republican
13218102,13218102,TX23,4,John Cornyn,TX,south,Republican
1352287997853622273,1352287997853622273,InflationReductionAct,4,Raphael G. Warnock,GA,south,Democrat
18061669,151247615,EarlyVoting,4,Lisa Murkowski,AK,north,Republican
18061669,151247615,FamilyFunBus,4,Lisa Murkowski,AK,north,Republican
18061669,151247615,MurkowskiForSenate,4,Lisa Murkowski,AK,north,Republican
293131808,158470209,VoteBluein2022,4,Patty Murray,WA,north,Democrat
171598736,171598736,DemsDeliver,4,"Robert P. Casey, Jr.",PA,north,Democrat
17494010,17494010,CancelStudentDebt,4,Charles E. Schumer,NY,north,Democrat
18695134,18695134,FIFAWorldCup,4,Robert Menendez,NJ,north,Democrat
18695134,18695134,PSLF,4,Robert Menendez,NJ,north,Democrat
88784440,2164909022,UTDEBATES,4,Mike Lee,UT,north,Republican
88784440,2164909022,utdebates,4,Mike Lee,UT,north,Republican
1298624375692894210,216881337,ElectionDay,4,Rand Paul,KY,south,Republican
225921757,225921757,BidenBorderCrisis,4,James Lankford,OK,south,Republican
229966028,229966028,FortMyers,4,Marco Rubio,FL,south,Republican
229966028,229966028,HuracánIan,4,Marco Rubio,FL,south,Republican
229966028,229966028,PortCharlotte,4,Marco Rubio,FL,south,Republican
229966028,229966028,Venezuela,4,Marco Rubio,FL,south,Republican
234128524,234128524,HereforHoosiers,4,Todd Young,IN,north,Republican
234374703,234374703,Election2022,4,"Joe Manchin, III",WV,south,Democrat
249787913,249787913,VetBiz,4,Thomas R. Carper,DE,south,Democrat
278145569,278145569,GoVols,4,Marsha Blackburn,TN,south,Republican
2856787757,2856787757,99CountyTour,4,Joni Ernst,IA,north,Republican
2856787757,2856787757,DYK,4,Joni Ernst,IA,north,Republican
2856787757,2856787757,DefundEcoHealth,4,Joni Ernst,IA,north,Republican
2856787757,2856787757,MakeEmSqueal,4,Joni Ernst,IA,north,Republican
2856787757,2856787757,PUNISHAct,4,Joni Ernst,IA,north,Republican
2856787757,2856787757,smallbiz,4,Joni Ernst,IA,north,Republican
2891210047,2891210047,MahsaAmini,4,Dan Sullivan,AK,north,Republican
29201047,29201047,BreakFreeFromPlastic,4,Jeff Merkley,OR,north,Democrat
229966028,3001665106,FailingFlorida,4,Marco Rubio,FL,south,Republican
229966028,3001665106,Florida,4,Marco Rubio,FL,south,Republican
1060370282,366304362,RedWave,4,Markwayne Mullin,OK,south,Republican
476256944,476256944,BreastCancerAwarenessMonth,4,Dianne Feinstein,CA,north,Democrat
5558312,5558312,FarmBill,4,John Boozman,AR,south,Republican
76456274,76456274,GoBlue,4,Debbie Stabenow,MI,north,Democrat
76456274,76456274,GoGreen,4,Debbie Stabenow,MI,north,Democrat
76456274,76456274,MFGDay22,4,Debbie Stabenow,MI,north,Democrat
811313565760163844,811313565760163844,HispanicHeritageMonth,4,Catherine Cortez Masto,NV,north,Democrat
217543151,81191343,NVSen,4,Tim Scott,SC,south,Republican
816683274076614656,816683274076614656,BorderCrisis,4,John Kennedy,LA,south,Republican
88784440,88784440,Bidenflation,4,Mike Lee,UT,north,Republican
1017500185356853248,1017500185356853248,NOvsTB,3,Bill Cassidy,LA,south,Republican
1017500185356853248,1017500185356853248,lasen,3,Bill Cassidy,LA,south,Republican
278124059,102477372,CTSen,3,Richard Blumenthal,CT,north,Democrat
278124059,102477372,Medicare,3,Richard Blumenthal,CT,north,Democrat
278124059,102477372,SocialSecurity,3,Richard Blumenthal,CT,north,Democrat
1058520120,1058520120,GetCovered,3,Tammy Duckworth,IL,north,Democrat
1060370282,1060370282,WeeklyWrapUp,3,Markwayne Mullin,OK,south,Republican
1074518754,1074518754,GetCovered,3,Tammy Baldwin,WI,north,Democrat
1074518754,1074518754,MarriageEquality,3,Tammy Baldwin,WI,north,Democrat
1080844782,1080844782,State48,3,Kyrsten Sinema,AZ,north,Independent
109071031,109071031,MDVotes,3,Benjamin L. Cardin,MD,south,Democrat
109071031,109071031,MDvotes,3,Benjamin L. Cardin,MD,south,Democrat
109071031,109071031,TeamMaryland,3,Benjamin L. Cardin,MD,south,Democrat
109287731,109287731,AmericanRescuePlan,3,Jeanne Shaheen,NH,north,Democrat
109287731,109287731,InflationReductionAct,3,Jeanne Shaheen,NH,north,Democrat
10615232,118740781,FreedomTour,3,Chuck Grassley,IA,north,Republican
10615232,118740781,IASEN,3,Chuck Grassley,IA,north,Republican
10615232,118740781,TeamGrassley,3,Chuck Grassley,IA,north,Republican
1352287997853622273,1221242033530195970,GASEN,3,Raphael G. Warnock,GA,south,Democrat
1352287997853622273,1221242033530195970,GaSenDebate,3,Raphael G. Warnock,GA,south,Democrat
1352287997853622273,1221242033530195970,GoDawgs,3,Raphael G. Warnock,GA,south,Democrat
1352287997853622273,1221242033530195970,RevdUp,3,Raphael G. Warnock,GA,south,Democrat
1352287997853622273,1221242033530195970,TeamUSA,3,Raphael G. Warnock,GA,south,Democrat
131546062,131546062,Fiona,3,Rick Scott,FL,south,Republican
13218102,13218102,LevelUp,3,John Cornyn,TX,south,Republican
13218102,13218102,WorldSeries,3,John Cornyn,TX,south,Republican
233737858,142332083,GoPackGo,3,Ron Johnson,WI,north,Republican
233737858,142332083,WISen,3,Ron Johnson,WI,north,Republican
18061669,151247615,ComFish,3,Lisa Murkowski,AK,north,Republican
18061669,151247615,FishDebate,3,Lisa Murkowski,AK,north,Republican
171598736,171598736,RingTheBell,3,"Robert P. Casey, Jr.",PA,north,Democrat
17494010,17494010,LosDeliveristas,3,Charles E. Schumer,NY,north,Democrat
18632666,18632666,Artemis,3,Jerry Moran,KS,north,Republican
18695134,18695134,HispanicHeritageMonth,3,Robert Menendez,NJ,north,Democrat
193794406,193794406,COP27,3,Shelley Moore Capito,WV,south,Republican
193794406,193794406,WeAreMarshall,3,Shelley Moore Capito,WV,south,Republican
224285242,224285242,ChildTaxCredit,3,Michael F. Bennet,CO,north,Democrat
229966028,229966028,Israel,3,Marco Rubio,FL,south,Republican
234374703,234374703,BipartisanInfrastructureLaw,3,"Joe Manchin, III",WV,south,Democrat
234374703,234374703,Vote,3,"Joe Manchin, III",WV,south,Democrat
236511574,236511574,GoGreen,3,Gary C. Peters,MI,north,Democrat
250188760,250188760,2022townhalls,3,Ron Wyden,OR,north,Democrat
250188760,250188760,OregonWay,3,Ron Wyden,OR,north,Democrat
2856787757,2856787757,Bidenomics,3,Joni Ernst,IA,north,Republican
2856787757,2856787757,Thanksgiving,3,Joni Ernst,IA,north,Republican
2856787757,2856787757,VeteransDay,3,Joni Ernst,IA,north,Republican
2891210047,2891210047,2022AFN,3,Dan Sullivan,AK,north,Republican
2891210047,2891210047,AFN,3,Dan Sullivan,AK,north,Republican
2891210047,2891210047,CelebratingOurUnity,3,Dan Sullivan,AK,north,Republican
2891210047,2891210047,China,3,Dan Sullivan,AK,north,Republican
29201047,29201047,BAONPDX,3,Jeff Merkley,OR,north,Democrat
29201047,29201047,EqualityAct,3,Jeff Merkley,OR,north,Democrat
29201047,29201047,LGBTQHistoryMonth,3,Jeff Merkley,OR,north,Democrat
29201047,29201047,VoteReady,3,Jeff Merkley,OR,north,Democrat
293131808,293131808,GetCoveredWA,3,Patty Murray,WA,north,Democrat
10615232,294126378,fentanyl,3,Chuck Grassley,IA,north,Republican
296361085,296361085,GoJacks,3,John Thune,SD,north,Republican
229966028,3001665106,LawEnforcementForMarco,3,Marco Rubio,FL,south,Republican
811313565760163844,3145735852,FITN,3,Catherine Cortez Masto,NV,north,Democrat
1058520120,328679423,ElectionDay,3,Tammy Duckworth,IL,north,Democrat
1060370282,366304362,ElectionDay,3,Markwayne Mullin,OK,south,Republican
43910797,43910797,AmericanRescuePlan,3,Sherrod Brown,OH,north,Democrat
224285242,45645232,copolitics,3,Michael F. Bennet,CO,north,Democrat
476256944,476256944,IRS,3,Dianne Feinstein,CA,north,Democrat
476256944,476256944,earthquake,3,Dianne Feinstein,CA,north,Democrat
486694111,486694111,smallbiz,3,Jack Reed,RI,north,Democrat
5558312,5558312,VeteransDay,3,John Boozman,AR,south,Republican
1324926274888888320,65707359,FullSpeedAhead,3,Mark Kelly,AZ,north,Democrat
817138492614524928,720353279176081408,LeadRight,3,Ted Budd,NC,south,Republican
217543151,81191343,NVpol,3,Tim Scott,SC,south,Republican
217543151,81191343,OHSen,3,Tim Scott,SC,south,Republican
217543151,81191343,RJCinVegas,3,Tim Scott,SC,south,Republican
816683274076614656,816683274076614656,OpenBorder,3,John Kennedy,LA,south,Republican
818554054309715969,818554054309715969,1October,3,Jacky Rosen,NV,north,Democrat
818554054309715969,818554054309715969,BipartisanInfrastructureLaw,3,Jacky Rosen,NV,north,Democrat
818554054309715969,818554054309715969,HFX2022,3,Jacky Rosen,NV,north,Democrat
818554054309715969,818554054309715969,NativeAmericanHeritageMonth,3,Jacky Rosen,NV,north,Democrat
818554054309715969,818554054309715969,RespectForMarriageAct,3,Jacky Rosen,NV,north,Democrat
899978622416695297,899978622416695297,SpeakOutAct,3,Kirsten E. Gillibrand,NY,north,Democrat
899978622416695297,899978622416695297,VeteransDay,3,Kirsten E. Gillibrand,NY,north,Democrat
983348251972816896,983348251972816896,NationalWarriorCallDay,3,Cindy Hyde-Smith,MS,south,Republican
1017500185356853248,1017500185356853248,CITGO6,2,Bill Cassidy,LA,south,Republican
1017500185356853248,1017500185356853248,Thanksgiving,2,Bill Cassidy,LA,south,Republican
1017500185356853248,1017500185356853248,VeteransDay,2,Bill Cassidy,LA,south,Republican
278124059,102477372,FactCheck,2,Richard Blumenthal,CT,north,Democrat
1058520120,1058520120,HispanicHeritageMonth,2,Tammy Duckworth,IL,north,Democrat
1071402577,1071402577,ethanol,2,Deb Fischer,NE,north,Republican
1074480192,1074480192,LevelUp,2,Ted Cruz,TX,south,Republican
1074480192,1074480192,WorldSeries,2,Ted Cruz,TX,south,Republican
1074518754,1074518754,LGBTQHistoryMonth,2,Tammy Baldwin,WI,north,Democrat
109071031,109071031,Election2022,2,Benjamin L. Cardin,MD,south,Democrat
109071031,109071031,MarriageEquality,2,Benjamin L. Cardin,MD,south,Democrat
109071031,109071031,WorldCup2022,2,Benjamin L. Cardin,MD,south,Democrat
109287731,109287731,Artemis,2,Jeanne Shaheen,NH,north,Democrat
109287731,109287731,BIL,2,Jeanne Shaheen,NH,north,Democrat
109287731,109287731,NHLBruins,2,Jeanne Shaheen,NH,north,Democrat
109287731,109287731,NationalWarriorCallDay,2,Jeanne Shaheen,NH,north,Democrat
1096059529,1096059529,GoVandals,2,James E. Risch,ID,north,Republican
1099199839,1099199839,COP27,2,Martin Heinrich,NM,north,Democrat
1099199839,1099199839,EEODayRI,2,Martin Heinrich,NM,north,Democrat
1099199839,1099199839,RespectForMarriageAct,2,Martin Heinrich,NM,north,Democrat
117501995,117501995,SeaUsRise,2,Maria Cantwell,WA,north,Democrat
10615232,118740781,FITN,2,Chuck Grassley,IA,north,Republican
10615232,118740781,IASen,2,Chuck Grassley,IA,north,Republican
10615232,118740781,KeepIowaMoving,2,Chuck Grassley,IA,north,Republican
10615232,118740781,NOPEC,2,Chuck Grassley,IA,north,Republican
10615232,118740781,RedWave,2,Chuck Grassley,IA,north,Republican
10615232,118740781,SundaysWithTheGrassleys,2,Chuck Grassley,IA,north,Republican
10615232,118740781,Thanksgiving,2,Chuck Grassley,IA,north,Republican
10615232,118740781,VoteGrassley,2,Chuck Grassley,IA,north,Republican
10615232,118740781,iasen,2,Chuck Grassley,IA,north,Republican
131546062,131546062,FloridaKeys,2,Rick Scott,FL,south,Republican
131546062,131546062,FortMyers,2,Rick Scott,FL,south,Republican
131546062,131546062,HuracanIan,2,Rick Scott,FL,south,Republican
131546062,131546062,HuracánIan,2,Rick Scott,FL,south,Republican
131546062,131546062,HurricaneNicole,2,Rick Scott,FL,south,Republican
131546062,131546062,NavyDay,2,Rick Scott,FL,south,Republican
131546062,131546062,PatriaYVida,2,Rick Scott,FL,south,Republican
131546062,131546062,VeteransDay,2,Rick Scott,FL,south,Republican
131546062,131546062,YomKippur,2,Rick Scott,FL,south,Republican
13218102,13218102,NationalAdoptionDay,2,John Cornyn,TX,south,Republican
13218102,13218102,UTSA,2,John Cornyn,TX,south,Republican
13218102,13218102,nodoublestandard,2,John Cornyn,TX,south,Republican
1346873610875654147,1346873610875654147,GBO,2,Bill Hagerty,TN,south,Republican
1346873610875654147,1346873610875654147,TennesseeTuesday,2,Bill Hagerty,TN,south,Republican
1351236267707654145,1351236267707654145,DACA,2,Alex Padilla,CA,north,Democrat
1351236267707654145,1351236267707654145,RespectForMarriageAct,2,Alex Padilla,CA,north,Democrat
1352287997853622273,1352287997853622273,FreeBrittneyGriner,2,Raphael G. Warnock,GA,south,Democrat
1352287997853622273,1352287997853622273,GoDawgs,2,Raphael G. Warnock,GA,south,Democrat
1352287997853622273,1352287997853622273,VeteransDay,2,Raphael G. Warnock,GA,south,Democrat
233737858,142332083,TeamRonJon,2,Ron Johnson,WI,north,Republican
18061669,151247615,LisaForSenate,2,Lisa Murkowski,AK,north,Republican
18061669,151247615,VoteForLisa,2,Lisa Murkowski,AK,north,Republican
15324851,15324851,RespectforMarriage,2,Christopher A. Coons,DE,south,Democrat
15324851,15324851,RingTheBell,2,Christopher A. Coons,DE,south,Democrat
15324851,15324851,SFOPS,2,Christopher A. Coons,DE,south,Democrat
171598736,171598736,ProtectPregnantWorkers,2,"Robert P. Casey, Jr.",PA,north,Democrat
17494010,17494010,VaxUpAmerica,2,Charles E. Schumer,NY,north,Democrat
18061669,18061669,OnlyInAlaska,2,Lisa Murkowski,AK,north,Republican
18061669,18061669,VeteransDay,2,Lisa Murkowski,AK,north,Republican
18137749,18137749,January6thCommitteeHearing,2,Chris Van Hollen,MD,south,Democrat
18137749,18137749,OTD,2,Chris Van Hollen,MD,south,Democrat
18695134,18695134,Champion4Children,2,Robert Menendez,NJ,north,Democrat
18695134,18695134,InflationReductionAct,2,Robert Menendez,NJ,north,Democrat
18695134,18695134,InvestInKids,2,Robert Menendez,NJ,north,Democrat
18695134,18695134,IranProtests,2,Robert Menendez,NJ,north,Democrat
18695134,18695134,Medicare,2,Robert Menendez,NJ,north,Democrat
18695134,18695134,NJVotes,2,Robert Menendez,NJ,north,Democrat
18695134,18695134,SFRC,2,Robert Menendez,NJ,north,Democrat
18695134,18695134,USMNT,2,Robert Menendez,NJ,north,Democrat
19318314,19318314,ProtectChaco,2,Ben Ray Luján,NM,north,Democrat
193794406,193794406,CapitoConnect,2,Shelley Moore Capito,WV,south,Republican
193794406,193794406,Halloween,2,Shelley Moore Capito,WV,south,Republican
193794406,193794406,fentanyl,2,Shelley Moore Capito,WV,south,Republican
202206694,202206694,VeteransDay,2,John Barrasso,WY,north,Republican
88784440,2164909022,HappyHalloween,2,Mike Lee,UT,north,Republican
88784440,2164909022,UTGOPvotes,2,Mike Lee,UT,north,Republican
88784440,2164909022,UTPol,2,Mike Lee,UT,north,Republican
88784440,2164909022,Utah,2,Mike Lee,UT,north,Republican
2167097881,2167097881,HispanicHeritageMonth,2,Cory A. Booker,NJ,north,Democrat
217543151,217543151,ICYMI,2,Tim Scott,SC,south,Republican
225921757,225921757,GiveAHam,2,James Lankford,OK,south,Republican
225921757,225921757,IranProtests,2,James Lankford,OK,south,Republican
229966028,229966028,BlueRoof,2,Marco Rubio,FL,south,Republican
229966028,229966028,Cuba,2,Marco Rubio,FL,south,Republican
229966028,229966028,Haiti,2,Marco Rubio,FL,south,Republican
229966028,229966028,HongKong,2,Marco Rubio,FL,south,Republican
229966028,229966028,HurricaneNicole,2,Marco Rubio,FL,south,Republican
229966028,229966028,Nicaragua,2,Marco Rubio,FL,south,Republican
229966028,229966028,Putin,2,Marco Rubio,FL,south,Republican
229966028,229966028,Uyghurs,2,Marco Rubio,FL,south,Republican
234128524,234128524,BeijingBehavingBadly,2,Todd Young,IN,north,Republican
234128524,234128524,bipartisan,2,Todd Young,IN,north,Republican
234374703,234374703,vote,2,"Joe Manchin, III",WV,south,Democrat
236511574,236511574,GetCovered,2,Gary C. Peters,MI,north,Democrat
236511574,236511574,ManufacturingDay,2,Gary C. Peters,MI,north,Democrat
242555999,242555999,COP27,2,Sheldon Whitehouse,RI,north,Democrat
247334603,247334603,Dreamers,2,Richard J. Durbin,IL,north,Democrat
247334603,247334603,OnThisDay,2,Richard J. Durbin,IL,north,Democrat
249787913,249787913,DelawareDay,2,Thomas R. Carper,DE,south,Democrat
249787913,249787913,SCOTUS,2,Thomas R. Carper,DE,south,Democrat
250188760,250188760,GoBeavs,2,Ron Wyden,OR,north,Democrat
250188760,250188760,GoDucks,2,Ron Wyden,OR,north,Democrat
250188760,250188760,RipCity,2,Ron Wyden,OR,north,Democrat
250188760,250188760,VoteAtHome,2,Ron Wyden,OR,north,Democrat
264219447,264219447,Artemis,2,Roger F. Wicker,MS,south,Republican
264219447,264219447,MississippiMorning,2,Roger F. Wicker,MS,south,Republican
264219447,264219447,RNDF,2,Roger F. Wicker,MS,south,Republican
264219447,264219447,TwitterFiles,2,Roger F. Wicker,MS,south,Republican
296361085,26533227,gojacks,2,John Thune,SD,north,Republican
816683274076614656,26594419,LouisianaProud,2,John Kennedy,LA,south,Republican
816683274076614656,26594419,TeamKennedy,2,John Kennedy,LA,south,Republican
278145569,278145569,BeatBama,2,Marsha Blackburn,TN,south,Republican
2856787757,2856787757,BidenEnergyCrisis,2,Joni Ernst,IA,north,Republican
2856787757,2856787757,GoArmy,2,Joni Ernst,IA,north,Republican
2856787757,2856787757,PSA,2,Joni Ernst,IA,north,Republican
2856787757,2856787757,Porktober,2,Joni Ernst,IA,north,Republican
2856787757,2856787757,SmallBusinessSaturday,2,Joni Ernst,IA,north,Republican
2856787757,2856787757,USMCA,2,Joni Ernst,IA,north,Republican
2856787757,2856787757,Ukraine,2,Joni Ernst,IA,north,Republican
2856787757,2856787757,VeteransSmallBusinessWeek,2,Joni Ernst,IA,north,Republican
2891210047,2891210047,Bidenflation,2,Dan Sullivan,AK,north,Republican
2891210047,2891210047,OPEC,2,Dan Sullivan,AK,north,Republican
2891210047,2891210047,PACTAct,2,Dan Sullivan,AK,north,Republican
2891210047,2891210047,VeteransDay,2,Dan Sullivan,AK,north,Republican
29201047,29201047,AirQuality,2,Jeff Merkley,OR,north,Democrat
29201047,29201047,OnlyForward,2,Jeff Merkley,OR,north,Democrat
29201047,29201047,ShakeOut,2,Jeff Merkley,OR,north,Democrat
29201047,29201047,TransAwarenessWeek,2,Jeff Merkley,OR,north,Democrat
29201047,29201047,WorldAIDSDay,2,Jeff Merkley,OR,north,Democrat
293131808,293131808,PregnantWorkersFairnessAct,2,Patty Murray,WA,north,Democrat
293131808,293131808,RespectForMarriageAct,2,Patty Murray,WA,north,Democrat
10615232,294126378,BackTheBlue,2,Chuck Grassley,IA,north,Republican
2964174789,2964174789,CapitolChristmasTree,2,Thom Tillis,NC,south,Republican
2964174789,2964174789,OnlyForward,2,Thom Tillis,NC,south,Republican
2964174789,2964174789,TeamUSA,2,Thom Tillis,NC,south,Republican
2964174789,2964174789,USMNT,2,Thom Tillis,NC,south,Republican
229966028,3001665106,BidenRecession,2,Marco Rubio,FL,south,Republican
229966028,3001665106,FallandoleAFlorida,2,Marco Rubio,FL,south,Republican
229966028,3001665106,FarmersForMarco,2,Marco Rubio,FL,south,Republican
229966028,3001665106,PelosiPuppet,2,Marco Rubio,FL,south,Republican
229966028,3001665106,PuentesDeAmor,2,Marco Rubio,FL,south,Republican
229966028,3001665106,RedWave,2,Marco Rubio,FL,south,Republican
5558312,3006258669,NationalFarmersDay,2,John Boozman,AR,south,Republican
811313565760163844,3145735852,LasVegasPride,2,Catherine Cortez Masto,NV,north,Democrat
811313565760163844,3145735852,VegasStrong,2,Catherine Cortez Masto,NV,north,Democrat
1058520120,328679423,ILSenateForum,2,Tammy Duckworth,IL,north,Democrat
946549322,361569788,FITN,2,Margaret Wood Hassan,NH,north,Democrat
1060370282,366304362,BackTheBlue,2,Markwayne Mullin,OK,south,Republican
1060370282,366304362,BidenBorderCrisis,2,Markwayne Mullin,OK,south,Republican
1060370282,366304362,OKsen,2,Markwayne Mullin,OK,south,Republican
382791093,382791093,ND,2,John Hoeven,ND,north,Republican
382791093,382791093,NDag,2,John Hoeven,ND,north,Republican
382791093,382791093,NorthDakota,2,John Hoeven,ND,north,Republican
382791093,382791093,UAS,2,John Hoeven,ND,north,Republican
43910797,43910797,LoveisLove,2,Sherrod Brown,OH,north,Democrat
224285242,45645232,cosen,2,Michael F. Bennet,CO,north,Democrat
476256944,476256944,safety,2,Dianne Feinstein,CA,north,Democrat
486694111,486694111,FY23NDAA,2,Jack Reed,RI,north,Democrat
486694111,486694111,TeamUSA,2,Jack Reed,RI,north,Democrat
515822213,515822213,GamedayinBozeman,2,Jon Tester,MT,north,Democrat
5558312,5558312,BackTheBlue,2,John Boozman,AR,south,Republican
